Country;AGR;COM;IND;RES
ALB;0,014922842123113447;0,23283025267084959;0,21112430049177547;0,5411226047142614
AUT;0,020069717677918132;0,24033616345689238;0,4361496514116104;0,30344446745357906
BEL;0,01961983450444941;0,2712204984835815;0,47414600052419403;0,23501366648777505
BGR;0,00782925782925783;0,29182754182754184;0,31981981981981983;0,38052338052338053
BIH;0,005385487528344671;0,1702569916855631;0,3778344671201814;0,44652305366591083
CYP;0,0342549547345241;0,4827501835086861;0,1123073158796183;0,3706875458771715
CZE;0,018068312555402578;0,28054921634823937;0,4301314573470889;0,27125101374926913
DEU;0,0;0,29768875682289475;0,44667614787507054;0,25563509530203476
DNK;0,05852442344913558;0,33293967129219565;0,2746776892038185;0,3338582160548502
ESP;0,02577378897710275;0,3276643388828408;0,33653292973279164;0,3100289424072648
EST;0,028983375018390465;0,4138590554656466;0,3029277622480506;0,25422980726791233
FIN;0,019546570991345498;0,22418116585008294;0,4872882990625362;0,26898396409603537
FRA;0,020066115702479338;0,34531523022432115;0,27497048406139313;0,3596481700118064
GBR;0,010362033616208797;0,31591115764183203;0,31211599571827886;0,3616108130236803
GEO;0,0;0,0;0,0;0,0
GRC;0,044981051211333556;0,35568166035040377;0,251354193535586;0,34798309490267665
HRV;0,004106504172738111;0,3579944363491853;0,22711617432772552;0,41078288515035105
HUN;0,024324940184573318;0,22821009456534122;0,4387319129543124;0,308733052295773
IRL;0,02229413879899317;0,26952734827599983;0,3933037676295497;0,3148747452954573
ISL;0,013104201390884534;0,06994654865222139;0,8695327317661935;0,04741651819070061
ITA;0,019853486479153477;0,33312833499140815;0,4075789092882337;0,23943926924120468
LTU;0,02027828713191673;0,33545464351202675;0,3573508790853198;0,2869161902707367
LUX;0,006064579577118505;0,3296180953941977;0,5020488444517293;0,1622684805769546
LVA;0,024739993696816894;0,4297195083517176;0,26835802080050425;0,2771824771509612
MDA;0,012647786637338466;0,31564476216662085;0,2125378058839703;0,4591696453120704
MKD;0,005439709882139619;0,22121486854034453;0,2985796313085524;0,47476579026896343
MLT;0,005205868433506862;0,48793185044959775;0,19640321817321343;0,310459062943682
MNE;0,0052651372696502444;0,23881158330199323;0,2884543061301241;0,4674689732982324
NLD;0,08463891081294396;0,3537095501183899;0,3378749013417522;0,22377663772691397
NOR;0,016373482590681106;0,22394053936177946;0,40899178599985464;0,3506941920476848
POL;0,012060075856594151;0,36439230528670746;0,3967797031489307;0,2267679157077677
PRT;0,01784025165533778;0,3782089355243186;0,340548626234629;0,2634021865857146
ROU;0,021909121251132407;0,2004243551232537;0,48931960139226627;0,2883469222333476
SRB;0,011919085576778463;0,1849902240938487;0,27436456610016546;0,5287261242292074
SVK;0,011064832344650595;0,28886364592536495;0,4882409861584417;0,21183053557154277
SVN;0,0;0,2557771446660336;0,49058246280468504;0,25364039252928144
SWE;0,010305568278479357;0,22685336648563764;0,41124942746842896;0,35159163776745406
TUR;0,022387186460034916;0,28052553487261817;0,4728830932978858;0,22420418536946113
UKR;0,029797250307601775;0,1946807182724371;0,44546978369799745;0,3300522477219637
XKO;0,023150151449588922;0,16875811337083513;0,2959757680657724;0,5121159671138036
